id,title,description,borough,neighborhood,address,price,beds,baths,sqft,property_type,available_from,lease_term,image_url,listing_url,latitude,longitude,pet_friendly,furnished,has_doorman,has_laundry,near_subway,allows_guarantors,featured
nyc-001,Sunlit Loft Near Domino Park,"Warehouse-style loft with exposed brick, skyline views, and a smart split-bedroom layout close to the waterfront.",Brooklyn,Williamsburg,"145 Kent Ave, Brooklyn, NY",4350,2,1.5,980,Loft,2026-04-15,12 months,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80,https://example.com/listings/nyc-001,40.7177,-73.9630,true,false,false,true,true,true,true
nyc-002,Doorman Studio Above Bryant Park,"Compact luxury studio with concierge access, oversized windows, and immediate Midtown commute convenience.",Manhattan,Midtown,"30 W 39th St, New York, NY",3650,0,1,430,Studio,2026-04-10,12 months,https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80,https://example.com/listings/nyc-002,40.7527,-73.9845,false,true,true,true,true,true,true
nyc-003,Renovated Brownstone Floor Through,"Classic Park Slope charm with high ceilings, washer-dryer, and a quiet tree-lined block near Prospect Park.",Brooklyn,Park Slope,"412 6th Ave, Brooklyn, NY",5200,3,2,1250,Brownstone,2026-05-01,12 months,https://images.unsplash.com/photo-1484154218962-a197022b5858?auto=format&fit=crop&w=1200&q=80,https://example.com/listings/nyc-003,40.6711,-73.9804,true,false,false,true,true,true,true
nyc-004,Upper West Side Family Home,"Wide living room, separate dining area, and elevator access one block from Riverside Park.",Manhattan,Upper West Side,"250 W 83rd St, New York, NY",6800,3,2,1480,Apartment,2026-04-20,12 months,https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?auto=format&fit=crop&w=1200&q=80,https://example.com/listings/nyc-004,40.7861,-73.9777,true,false,true,true,true,true,true
nyc-005,Sunny LIC Corner One Bedroom,"Glassy one-bedroom with skyline panorama, gym access, and a fast train ride into Midtown.",Queens,Long Island City,"5-11 47th Ave, Queens, NY",3895,1,1,690,Apartment,2026-04-12,12 months,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80,https://example.com/listings/nyc-005,40.7447,-73.9568,true,false,true,true,true,true,false
nyc-006,Harlem Duplex with Private Patio,"Rare duplex rental with private outdoor space, updated kitchen, and room for work-from-home setups.",Manhattan,Harlem,"210 W 121st St, New York, NY",4100,2,2,1040,Duplex,2026-04-18,12 months,https://images.unsplash.com/photo-1448630360428-65456885c650?auto=format&fit=crop&w=1200&q=80,https://example.com/listings/nyc-006,40.8079,-73.9497,true,false,false,true,true,true,false
nyc-007,Astoria Two Bedroom with Balcony,"Bright corner apartment with balcony, dining nook, and quick access to restaurants and the N/W trains.",Queens,Astoria,"28-45 34th St, Queens, NY",3150,2,1,840,Apartment,2026-04-08,12 months,https://images.unsplash.com/photo-1460317442991-0ec209397118?auto=format&fit=crop&w=1200&q=80,https://example.com/listings/nyc-007,40.7644,-73.9235,true,false,false,true,true,true,false
nyc-008,West Village Furnished Hideaway,"Move-in-ready designer home with custom millwork and cafe-lined streets right outside the door.",Manhattan,West Village,"76 Perry St, New York, NY",5750,1,1,610,Furnished Apartment,2026-04-07,6 months,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?auto=format&fit=crop&w=1200&q=80,https://example.com/listings/nyc-008,40.7351,-74.0060,false,true,false,true,true,false,true
nyc-009,Fort Greene Condo with Roof Deck,"Modern condo living with shared roof deck, dishwasher, and an easy walk to Atlantic Terminal.",Brooklyn,Fort Greene,"225 Dekalb Ave, Brooklyn, NY",4550,2,2,930,Condo,2026-04-25,12 months,https://images.unsplash.com/photo-1502005229762-cf1b2da7c5d6?auto=format&fit=crop&w=1200&q=80,https://example.com/listings/nyc-009,40.6903,-73.9740,true,false,true,true,true,true,false
nyc-010,Lower East Side Micro Loft,"Stylish compact loft with built-ins, polished concrete, and nightlife access without losing transit convenience.",Manhattan,Lower East Side,"157 Ludlow St, New York, NY",2995,0,1,360,Studio,2026-04-09,12 months,https://images.unsplash.com/photo-1494526585095-c41746248156?auto=format&fit=crop&w=1200&q=80,https://example.com/listings/nyc-010,40.7217,-73.9874,false,true,false,false,true,true,false
nyc-011,South Bronx Value Three Bedroom,"Renovated value-focused apartment with generous rooms, sunny exposures, and flexible guarantor acceptance.",Bronx,South Bronx,"425 E 149th St, Bronx, NY",2890,3,1.5,1175,Apartment,2026-04-14,12 months,https://images.unsplash.com/photo-1484154218962-a197022b5858?auto=format&fit=crop&w=1200&q=80,https://example.com/listings/nyc-011,40.8161,-73.9178,true,false,false,true,true,true,false
nyc-012,St. George Ferry View Rental,"Waterfront-facing apartment with harbor views, stainless appliances, and a short trip to the ferry terminal.",Staten Island,St. George,"25 Hyatt St, Staten Island, NY",2550,1,1,720,Apartment,2026-04-16,12 months,https://images.unsplash.com/photo-1448630360428-65456885c650?auto=format&fit=crop&w=1200&q=80,https://example.com/listings/nyc-012,40.6437,-74.0736,true,false,false,true,true,true,false
